"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.71,22.62,1085987355,125,132,150,173,194,208,214,212,204,187,164,135,"Viola adenothrix",71,149.8
"2",120.752222,22.630556,891605547,65,71,85,105,127,141,146,144,136,121,99,75,"Viola adenothrix",71,71.5
"3",120.752222,22.630556,891605712,65,71,85,105,127,141,146,144,136,121,99,75,"Viola adenothrix",71,71.5
"4",120.7,22.883333,1821844356,134,142,163,188,211,226,233,230,222,203,177,145,"Viola adenothrix",71,167.4
"5",120.81,22.97,1086027617,71,78,94,118,141,156,162,160,151,134,109,81,"Viola adenothrix",71,85.5
"6",120.758889,23.153333,1821816693,148,158,181,210,234,250,257,254,245,225,196,161,"Viola adenothrix",71,191.9
"7",120.85,23.22,1086008259,94,102,122,148,172,189,196,193,184,163,137,105,"Viola adenothrix",71,120.5
"8",120.85,23.22,1086009808,94,102,122,148,172,189,196,193,184,163,137,105,"Viola adenothrix",71,120.5
"9",120.985278,23.2525,891605067,49,56,72,96,120,137,143,141,132,112,88,60,"Viola adenothrix",71,60.7
"10",120.91,23.26,1086006775,50,56,73,97,122,138,145,143,133,114,89,60,"Viola adenothrix",71,62
"11",120.94,23.26,1086014460,47,54,70,94,118,135,141,139,130,111,86,58,"Viola adenothrix",71,58.6
"12",120.966667,23.266667,1821778006,38,44,60,83,107,124,130,128,119,100,75,48,"Viola adenothrix",71,47.6
"13",120.95,23.27,1085987886,37,43,59,82,107,124,130,128,118,99,75,47,"Viola adenothrix",71,47.2
"14",120.95,23.28,1085983420,35,40,56,79,104,121,127,125,115,96,72,45,"Viola adenothrix",71,44.5
"15",120.81,23.33,1086016172,81,88,108,134,159,177,183,181,171,151,124,92,"Viola adenothrix",71,104.9
"16",120.905624,23.457466,2596282983,77,85,104,131,157,175,182,179,169,148,121,89,"Viola adenothrix",71,101.7
"17",120.883333,23.466667,1821888550,43,50,67,92,118,136,143,141,130,110,84,54,"Viola adenothrix",71,57.5
"18",120.960556,23.468333,891668017,-8,-3,10,32,58,76,82,80,70,51,27,2,"Viola adenothrix",71,11.7
"19",120.960556,23.468333,891668039,-8,-3,10,32,58,76,82,80,70,51,27,2,"Viola adenothrix",71,11.7
"20",120.892778,23.470556,891598012,45,52,69,94,120,138,145,143,133,112,86,56,"Viola adenothrix",71,59.8
"21",120.91,23.47,1085994165,34,41,57,82,107,125,132,130,120,99,74,45,"Viola adenothrix",71,47.6
"22",120.95,23.47,1086037261,-4,1,14,36,62,80,86,85,74,55,32,6,"Viola adenothrix",71,14.2
"23",120.845623,23.47317,2597704288,58,65,83,109,135,153,160,158,148,127,100,69,"Viola adenothrix",71,76.5
"24",120.8794,23.474238,2597772725,37,43,60,85,111,129,136,134,123,103,77,48,"Viola adenothrix",71,50.8
"25",120.879069,23.476152,2579229321,49,56,74,99,125,143,150,148,137,117,90,60,"Viola adenothrix",71,64.9
"26",120.894444,23.480278,1821952715,41,47,64,89,115,133,140,138,127,107,81,52,"Viola adenothrix",71,54.6
"27",120.886353,23.481078,2597831107,39,45,62,87,113,131,138,136,126,105,79,50,"Viola adenothrix",71,52.7
"28",120.9,23.48,1085987277,42,48,65,90,116,134,141,139,129,108,82,53,"Viola adenothrix",71,55.7
"29",120.830921,23.4828,2609284410,52,59,77,103,129,147,154,152,141,121,94,64,"Viola adenothrix",71,69.3
