"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.884667,16.584833,2513648857,120,125,135,148,153,152,147,146,145,142,135,124,"Yushania niitakayamensis",72,107.2
"2",120.9,16.6,2513648896,109,114,124,136,141,140,136,134,133,129,123,112,"Yushania niitakayamensis",72,93.1
"3",120.9,16.6,2513649217,109,114,124,136,141,140,136,134,133,129,123,112,"Yushania niitakayamensis",72,93.1
"4",120.9,16.6,2513649237,109,114,124,136,141,140,136,134,133,129,123,112,"Yushania niitakayamensis",72,93.1
"5",120.883333,16.7,2513648484,122,127,138,151,156,155,150,149,147,144,137,126,"Yushania niitakayamensis",72,110.2
"6",120.883333,16.7,2513649526,122,127,138,151,156,155,150,149,147,144,137,126,"Yushania niitakayamensis",72,110.2
"7",121.401944,16.866944,2513649505,222,229,243,260,266,266,261,260,257,251,242,226,"Yushania niitakayamensis",72,238.3
"8",120.771667,22.396667,891705082,146,153,170,192,212,225,230,228,221,205,183,156,"Yushania niitakayamensis",72,172.1
"9",120.745,22.412778,891705063,126,133,149,170,190,204,209,207,199,184,162,136,"Yushania niitakayamensis",72,146.9
"10",120.74,22.62,1085967051,102,108,124,146,168,182,187,185,177,161,139,112,"Yushania niitakayamensis",72,119.1
"11",120.752222,22.630556,891603398,65,71,85,105,127,141,146,144,136,121,99,75,"Yushania niitakayamensis",72,71.5
"12",120.752222,22.630556,891605526,65,71,85,105,127,141,146,144,136,121,99,75,"Yushania niitakayamensis",72,71.5
"13",120.46,22.65,2417510199,189,197,219,245,266,280,287,284,277,260,234,201,"Yushania niitakayamensis",72,233.9
"14",120.872171,22.729807,1086074809,90,96,112,134,156,171,176,174,166,149,126,99,"Yushania niitakayamensis",72,104.9
"15",120.88374,22.73704,1086074824,81,88,103,125,147,161,167,165,156,140,117,91,"Yushania niitakayamensis",72,94.1
"16",120.88132,22.743721,1086074826,90,97,113,135,157,172,177,175,167,150,127,100,"Yushania niitakayamensis",72,106
"17",120.898173,22.745178,1086074814,81,87,103,124,147,161,166,164,156,140,117,91,"Yushania niitakayamensis",72,93.7
"18",120.891375,22.74707,1086074777,87,93,109,131,153,168,173,171,163,146,124,97,"Yushania niitakayamensis",72,101.5
"19",120.882222,22.765278,891639157,98,104,121,144,166,181,186,184,176,159,135,108,"Yushania niitakayamensis",72,116.2
"20",120.856166,22.868689,1086074836,75,82,98,120,143,158,164,162,153,136,113,85,"Yushania niitakayamensis",72,88.9
"21",120.855843,22.869501,1086074805,75,82,98,120,143,158,164,162,153,136,113,85,"Yushania niitakayamensis",72,88.9
"22",120.866787,22.869872,1086074853,81,88,105,127,150,165,170,168,160,142,119,91,"Yushania niitakayamensis",72,96.6
"23",120.86546,22.871677,1086074790,73,79,95,118,140,156,161,159,151,133,110,83,"Yushania niitakayamensis",72,85.8
"24",120.856162,22.872121,1086074821,75,82,98,120,143,158,164,162,153,136,113,85,"Yushania niitakayamensis",72,88.9
"25",120.858432,22.872665,1086074847,73,79,95,118,140,156,161,159,151,133,110,83,"Yushania niitakayamensis",72,85.8
"26",120.95444,23.45638,1260875621,-5,0,13,35,61,79,85,83,73,54,31,5,"Yushania niitakayamensis",72,13.5
"27",120.954,23.4564,2236098838,-5,0,13,35,61,79,85,83,73,54,31,5,"Yushania niitakayamensis",72,13.5
"28",120.956,23.4572,2235851507,-5,0,13,35,61,79,85,83,73,54,31,5,"Yushania niitakayamensis",72,13.5
"29",120.95611,23.45722,1260875564,-5,0,13,35,61,79,85,83,73,54,31,5,"Yushania niitakayamensis",72,13.5
"30",120.919722,23.460833,891630607,56,63,81,106,132,150,157,155,145,124,98,67,"Yushania niitakayamensis",72,73.4
"31",120.960278,23.461944,1821927722,-3,2,16,38,64,82,87,86,76,56,33,7,"Yushania niitakayamensis",72,15.1
"32",120.873333,23.463056,891705087,35,41,58,83,108,126,133,131,121,100,75,46,"Yushania niitakayamensis",72,48.5
"33",120.873333,23.463056,891705088,35,41,58,83,108,126,133,131,121,100,75,46,"Yushania niitakayamensis",72,48.5
"34",120.943545,23.465076,1883493396,7,12,27,50,75,93,99,98,88,68,44,17,"Yushania niitakayamensis",72,22.1
"35",120.941667,23.465278,891644974,7,12,27,50,75,93,99,98,88,68,44,17,"Yushania niitakayamensis",72,22.1
"36",120.950467,23.466379,1880590211,-6,-2,11,33,59,77,83,81,71,52,29,3,"Yushania niitakayamensis",72,12.3
"37",120.95,23.466667,1821927776,-4,1,14,36,62,80,86,85,74,55,32,6,"Yushania niitakayamensis",72,14.2
"38",120.960556,23.468333,891705095,-8,-3,10,32,58,76,82,80,70,51,27,2,"Yushania niitakayamensis",72,11.7
"39",120.879953,23.468478,2238947954,37,43,60,85,111,129,136,134,123,103,77,48,"Yushania niitakayamensis",72,50.8
"40",120.957,23.4694,2235742286,-4,1,14,36,62,80,86,85,74,55,32,6,"Yushania niitakayamensis",72,14.2
"41",120.95722,23.46944,1260875566,-4,1,14,36,62,80,86,85,74,55,32,6,"Yushania niitakayamensis",72,14.2
"42",120.892778,23.470556,891598122,45,52,69,94,120,138,145,143,133,112,86,56,"Yushania niitakayamensis",72,59.8
"43",120.892778,23.470556,891598219,45,52,69,94,120,138,145,143,133,112,86,56,"Yushania niitakayamensis",72,59.8
"44",120.892778,23.470556,891598253,45,52,69,94,120,138,145,143,133,112,86,56,"Yushania niitakayamensis",72,59.8
"45",120.8,23.47,1085969485,70,77,97,124,149,167,175,172,162,141,114,82,"Yushania niitakayamensis",72,93
"46",120.922988,23.471575,1901074139,31,37,53,77,103,121,127,125,115,95,70,41,"Yushania niitakayamensis",72,43.6
"47",120.90611,23.47388,1260875639,50,57,74,100,126,144,151,148,138,117,91,61,"Yushania niitakayamensis",72,65.7
"48",120.906,23.4739,2236067789,50,57,74,100,126,144,151,148,138,117,91,61,"Yushania niitakayamensis",72,65.7
"49",120.886087,23.475956,1453245727,39,45,62,87,113,131,138,136,126,105,79,50,"Yushania niitakayamensis",72,52.7
"50",120.887193,23.481142,1703174979,39,45,62,87,113,131,138,136,126,105,79,50,"Yushania niitakayamensis",72,52.7
"51",120.890393,23.487523,2331835359,45,51,69,94,120,138,145,143,133,112,86,56,"Yushania niitakayamensis",72,59.7
"52",120.821667,23.488889,891618465,60,67,86,112,138,156,163,161,151,130,103,72,"Yushania niitakayamensis",72,79.9
"53",120.71722,23.498433,2619935175,81,88,109,136,162,180,188,185,175,154,126,93,"Yushania niitakayamensis",72,107.7
"54",120.717662,23.498471,2620118400,81,88,109,136,162,180,188,185,175,154,126,93,"Yushania niitakayamensis",72,107.7
"55",120.71733,23.498613,1898846972,81,88,109,136,162,180,188,185,175,154,126,93,"Yushania niitakayamensis",72,107.7
"56",120.717526,23.498721,2620156355,81,88,109,136,162,180,188,185,175,154,126,93,"Yushania niitakayamensis",72,107.7
"57",120.717488,23.498823,1898846978,81,88,109,136,162,180,188,185,175,154,126,93,"Yushania niitakayamensis",72,107.7
"58",120.441055,23.502293,1303608452,168,177,202,234,260,278,287,284,275,252,221,183,"Yushania niitakayamensis",72,222.1
"59",120.815833,23.506944,891638721,55,62,80,107,133,151,158,156,146,124,98,67,"Yushania niitakayamensis",72,73.7
"60",120.870148,23.509054,1086074840,77,85,105,132,158,177,184,181,171,149,122,89,"Yushania niitakayamensis",72,103
"61",120.868229,23.509233,1086074829,77,85,105,132,158,177,184,181,171,149,122,89,"Yushania niitakayamensis",72,103
"62",120.867092,23.509593,1086074830,77,85,105,132,158,177,184,181,171,149,122,89,"Yushania niitakayamensis",72,103
"63",120.867317,23.510496,1086074815,77,85,105,132,158,177,184,181,171,149,122,89,"Yushania niitakayamensis",72,103
"64",120.706788,23.511393,1913170323,89,96,117,145,171,189,197,195,185,163,135,101,"Yushania niitakayamensis",72,118.3
